route_short_name,prev_stop_name,stop_name,avg_travel_time,trip_count,avg_time_readable
EC 96,Zielona Gora Glowna,Glogow,0 days 00:37:21.818181818,11,37 Min 21 Sec
EC 96,Zielona Gora Glowna,Rzepin,0 days 00:46:00,3,46 Min 0 Sec
EC 97,Elsterwerda,Riesa,0 days 00:20:00,3,20 Min 0 Sec
EC 97,Elsterwerda,Ruhland,0 days 00:28:00,2,28 Min 0 Sec
EC 97,Horka(Gr),Hoyerswerda,0 days 00:31:51.428571428,7,31 Min 51 Sec
EC 97,Hoyerswerda,Horka(Gr),0 days 00:32:00,6,32 Min 0 Sec
EC 97,Hoyerswerda,Ruhland,0 days 00:19:00,7,19 Min 0 Sec
EC 97,Leipzig Hbf,Riesa,0 days 00:34:00,2,34 Min 0 Sec
EC 97,Leipzig Hbf,Ruhland,0 days 01:18:00,4,78 Min 0 Sec
EC 97,Riesa,Elsterwerda,0 days 00:18:00,2,18 Min 0 Sec
EC 97,Riesa,Leipzig Hbf,0 days 00:36:40,3,36 Min 40 Sec
EC 97,Ruhland,Elsterwerda,0 days 00:22:00,3,22 Min 0 Sec
EC 97,Ruhland,Hoyerswerda,0 days 00:19:20,6,19 Min 20 Sec
EC 97,Ruhland,Leipzig Hbf,0 days 01:31:00,4,91 Min 0 Sec
ECE,Fredericia st,Kolding st,0 days 00:12:00,2,12 Min 0 Sec
ECE,Hoeje Taastrup st,Koebenhavn H,0 days 00:14:00,1,14 Min 0 Sec
ECE,Koebenhavn H,Koebenhavn Syd,0 days 00:04:00,2,4 Min 0 Sec
ECE,Koebenhavn H,Ringsted st,0 days 00:29:56,15,29 Min 56 Sec
ECE,Koebenhavn Syd,Ringsted st,0 days 00:26:00,2,26 Min 0 Sec
ECE,Kolding st,Fredericia st,0 days 00:14:00,2,14 Min 0 Sec
ECE,Kolding st,Middelfart st,0 days 00:18:52.500000,8,18 Min 52 Sec
ECE,Kolding st,Odense st,0 days 00:40:00,5,40 Min 0 Sec
ECE,Kolding st,Padborg st,0 days 00:47:09.473684210,19,47 Min 9 Sec
ECE,Korsoer st,Slagelse st,0 days 00:09:00,1,9 Min 0 Sec
ECE,Middelfart st,Kolding st,0 days 00:20:05,12,20 Min 5 Sec
ECE,Middelfart st,Odense st,0 days 00:36:22.500000,8,36 Min 22 Sec
ECE,Nyborg st,Korsoer st,0 days 00:13:00,1,13 Min 0 Sec
ECE,Nyborg st,Ringsted st,0 days 00:32:00,4,32 Min 0 Sec
ECE,Odense st,Kolding st,0 days 00:39:00,5,39 Min 0 Sec
ECE,Odense st,Middelfart st,0 days 00:30:00,12,30 Min 0 Sec
ECE,Odense st,Nyborg st,0 days 00:16:24,5,16 Min 24 Sec
ECE,Odense st,Ringsted st,0 days 00:44:07.500000,8,44 Min 7 Sec
ECE,Padborg st,Kolding st,0 days 00:41:00,15,41 Min 0 Sec
ECE,Ringsted st,Koebenhavn H,0 days 00:33:15,12,33 Min 15 Sec
ECE,Ringsted st,Odense st,0 days 00:45:14.117647058,17,45 Min 14 Sec
ECE,Ringsted st,Roskilde st,0 days 00:16:00,1,16 Min 0 Sec
ECE,Roskilde st,Hoeje Taastrup st,0 days 00:12:00,1,12 Min 0 Sec
ECE,Slagelse st,Soroe st,0 days 00:09:00,1,9 Min 0 Sec
ECE,Soroe st,Ringsted st,0 days 00:10:00,1,10 Min 0 Sec
ECE 20,Baden-Baden,"Freiburg, Hauptbahnhof",0 days 00:46:00,2,46 Min 0 Sec
ECE 20,Baden-Baden,Karlsruhe Hbf,0 days 00:21:24,5,21 Min 24 Sec
ECE 20,Basel Bad Bf,Basel SBB,0 days 00:15:52.500000,8,15 Min 52 Sec
ECE 20,Basel Bad Bf,"Freiburg, Hauptbahnhof",0 days 00:30:48,10,30 Min 48 Sec
ECE 20,Basel SBB,Basel Bad Bf,0 days 00:07:12,10,7 Min 12 Sec
